id,source,title,text_excerpt,label,comment
22514,edgar,"The Goldman Sachs Group, Inc. 8-K","8-K GOLDMAN SACHS GROUP INC 5.793% Fixed-to-Floating Rate Normal Automatic Preferred Enhanced Capital Securities of Goldman Sachs Capital II NY false 0000886982 0000886982 2026-07-21 2026-07-21 0000886982 us-gaap:CommonStockMember 2026-07-21 2026-07-21 0000886982 gs:SeriesAFloatingRatePreferredStockMember 2026-07-21 2026-07-21 0000886982 gs:SeriesCFloatingRatePreferredStockMember 2026-07-21 2026-07-21 0000886982 gs:SeriesDFloatingRatePreferredStockMember 2026-07-21 2026-07-21 0000886982 gs:M5.793FixedToFloatingRateNormalAutomaticPreferredEnhancedCapitalSecuritiesOfGoldmanSachsCapitalIi2Member 2026-07-21 2026-07-21 0000886982 gs:FloatingRateNormalAutomaticPreferredEnhancedCapitalSecuritiesOfGoldmanSachsCapitalIii1Member 2026-07-21 2026-07-21 0000886982 gs:SeriesFMediumTermNotesCallableFixedAndFloatingRateNotesDueMarch2031OfGSFinanceCorpMember 2026-07-21 2026-07-21 0000886982 gs:SeriesFMediumTermNotesCallableFixedAndFloatingRateNotesDueMay2031OfGSFinanceCorpMember 2026-07-21 2026-07-21 UNITED STATES SECURITIES AND EXCHANGE COMMISSION Washington, D.C. 20549 FORM 8-K CURRENT REPORT Pursuant to Section 13 or 15(d) of the Securities Exchange Act of 1934 Date of Report (Date of earliest event reported): July 21, 2026 The Goldman Sachs Group, Inc. (Exact name of registrant as specified in its charter) Delaware No. 001-14965 No. 13-4019460 (State or other jurisdiction of incorporation) (Commission File Number) (IRS Employer Identification No.) 200 West Street , New York , N.Y. 10282 (Address of principal executive offices) (Zip Code) Registrant’s telephone number, including area code: (212) 902-1000 N/A (Former name or former address, if changed since last report.) Check the appropriate box below if the Form 8-K filing is intended to simultaneously satisfy the filing obligation of the registrant under any of the following provisions: ☐ Written communications pursuant to Rule 425 under the Securities Act (17 CFR 230.425) ☐ Soliciting material pursuant to Rule 14a-12 under the Exchange Act (17 CFR 240.14a-12) ☐ Pre-commencement communications pursuant to Rule 14d-2(b) under the Exchange Act (17 CFR 240.14d-2(b)) ☐ Pre-commencement communications pursuant to Rule 13e-4(c) under the Exchange Act (17 CFR 240.13e-4(c)) Securities registered pursuant to Section 12(b) of the Act: Title of each class Trading Symbol Exchange on which registered Common stock, par value $.01 per share GS NYSE Depositary Shares, Each Representing 1/1,000th Interest in a Share of Floating Rate Non-Cumulative Preferred Stock, Series A GS PrA NYSE Depositary Shares, Each Representing 1/1,000th Interest in a Share of Floating Rate Non-Cumulative Preferred Stock, Series C GS PrC NYSE Depositary Shares, Each Representing 1/1,000th Interest in a Share of Floating Rate Non-Cumulative Preferred Stock, Series D GS PrD NYSE 5.793% Fixed-to-Floating Rate Normal Automatic Preferred Enhanced Capital Securities of Goldman Sachs Capital II GS/43PE NYSE Floating Rate Normal Automatic Preferred Enhanced Capital Securities of Goldman Sachs Capital III GS/43PF NYSE Medium-Term Notes, Series F, Callable Fixed and Floating Rate Notes due March 2031 of GS Finance Corp. GS/31B NYSE Medium-Term Notes, Series F, Callable Fixed and Floating Rate Notes due May 2031 of GS Finance Corp. GS/31X NYSE Indicate by check mark whether the registrant is an emerging growth company as defined in Rule 405 under the Securities Act (17 CFR 230.405) or Rule 12b-2 under the Exchange Act (17 CFR 240.12b-2). Emerging growth company ☐ If an emerging growth company, indicate by check mark if the registrant has elected not to use the extended transition period for complying with any new or revised financial accounting standards provided pursuant to Section 13(a) of the Exchange Act. ☐ Item 9.01 Financial Statements and Exhibits. Exhibits are filed herewith in connection with the issuance of the following debt securities by The Goldman Sachs Group, Inc. (the “Company”) on July 21, 2026 pursuant to the Company’s sh",neutral,routine debt securities issuance under shelf
2501,gdelt,Sumitomo Mitsui Trust Group Inc . Has $113 . 93 Million Stake in Zoetis Inc . $ZTS,,neutral,Not a bank
17441,gdelt,CubeSmart ( NYSE : CUBE ) Receives $43 . 18 Average Price Target from Analysts,,neutral,Not a bank
9318,gdelt,"FOX had two great All - Star moments , but still posted AI slop online . ",,neutral,Not a bank
3876,gdelt,"Procyon Advisors LLC Cuts Position in Cisco Systems , Inc . $CSCO",,neutral,Not a bank
15874,gdelt,Major financial corporation announces more layoffs in Illinois,,neutral,unclear which company; layoffs alone ambiguous
4068,gdelt,Labcorp ( NYSE : LH ) Price Target Raised to $320 . 00,,neutral,Not a bank
4654,gdelt,"Ingrid Delaet Sells 4 , 367 Shares of Neurocrine Biosciences ( NASDAQ : NBIX ) Stock",,neutral,Not a bank
1886,edgar,TriCo Bancshares 10-Q,,neutral,
18356,gdelt,BofA sees lost year taking shape for gold,,neutral,BofA is commentator not subject
15612,gdelt,US Stock Market : US homebuilder sentiment falls unexpectedly in July ; housing stocks may stay under pressure,,neutral,Not a bank
8820,gdelt,"Tigers take down Hurricanes , reclaim top spot in Wimmera hockey race | Wimmera Mallee News | Local News covering Sport , Rural , Council & Business News for Horsham , Warracknabeal , Dimboola , Rainbow , Jeparit & Yaapeet in VIC Australia . ",,neutral,Not a bank
21029,gdelt,Extra Space Storage Inc ( NYSE : EXR ) Receives $146 . 27 Consensus PT from Brokerages,,neutral,Not a bank
1811,edgar,"Pinnacle Financial Partners, Inc. 10-Q",,neutral,
2576,gdelt,5 Best Quality Stocks to Buy According to Wall Street Analysts,,neutral,Not a bank
7500,gdelt,IBM shares plunge 25 % as customers shift spending to AI,,neutral,IBM not a bank
5426,gdelt,ClearShares Ultra - Short Maturity ETF ( NYSEARCA : OPER ) Sees Large Decline in Short Interest,,neutral,Not a bank
14736,gdelt,EPR Properties ( NYSE : EPR ) Hits New 1 - Year High After Dividend Announcement,,neutral,Not a bank
17754,gdelt,BMO Capital Markets Upgrades Amcor ( NYSE : AMCR ) to Hold,,neutral,BMO is analyst; Amcor not a bank
2228,gdelt,Hays ( LON : HAS ) Shares Up 19 . 6 % – Still a Buy ? ,,neutral,Not a bank
10644,gdelt,"Apple , IBM downgraded : Wall Street top analyst calls",,neutral,Not a bank
1613,edgar,Cathay General Bancorp 10-Q,,neutral,Quartely report; no direction in excerpt
1514,edgar,Regions Financial Corporation 10-Q,,neutral,Quartely report; no direction in excerpt
11465,gdelt,"Verisk Analytics , Inc . $VRSK Holdings Boosted by Diversify Wealth Management LLC",,neutral,Not a bank
1549,edgar,"Zions Bancorporation, National Association 10-Q",,neutral,Quartely report; no direction in excerpt
1685,edgar,First Financial Bancorp. 8-K,"ffbc-20260423 0000708955 false 0000708955 2026-04-23 2026-04-23 0000708955 exch:XNMS 2026-04-23 2026-04-23 UNITED STATES SECURITIES AND EXCHANGE COMMISSION Washington, D.C. 20549 FORM 8-K CURRENT REPORT Pursuant to Section 13 or 15(d) of the Securities Exchange Act of 1934 Date of Report (Date of earliest event reported): April 23, 2026 FIRST FINANCIAL BANCORP. (Exact name of registrant as specified in its charter) Ohio 001-34762 31-1042001 (State or other jurisdiction of incorporation or organization) (Commission File Number) (I.R.S. employer identification number) 255 East Fifth Street, Suite 900 Cincinnati, Ohio 45202 (Address of principal executive offices) (Zip Code) Registrant's telephone number, including area code: ( 877 ) 322-9530 Check the appropriate box below if the Form 8-K filing is intended to simultaneously satisfy the filing obligation of the registrant under any of the following provisions (see General Instruction A.2. below): ☐ Written communications pursuant to Rule 425 under the Securities Act (17 CFR 230.425) ☐ Soliciting material pursuant to Rule 14a-12 under the Exchange Act (17 CFR 240.14a-12) ☐ Pre-commencement communications pursuant to Rule 14d-2(b) under the Exchange Act (17 CFR 240.14d-2(b)) ☐ Pre-commencement communications pursuant to Rule 13e-4(c) under the Exchange Act (17 CFR 240.13e-4(c)) Securities registered pursuant to Section 12(b) of the Act: Title of each class Trading symbol Name of exchange on which registered Common stock, No par value FFBC The NASDAQ Stock Market LLC Indicate by check mark whether the registrant is an emerging growth company as defined in as defined in Rule 405 of the Securities Act of 1933 (§230.405 of this chapter) or Rule 12b-2 of the Securities Exchange Act of 1934 (§240.12b-2 of this chapter). Emerging growth company ☐ If an emerging growth company, indicate by check mark if the registrant has elected not to use the extended transition period for complying with any new or revised financial accounting standards provided pursuant to Section 13(a) of the Exchange Act. ☐ Item 2.02 Results of Operations and Financial Condition. On April 23, 2026, First Financial Bancorp. (the ""Company"") issued its earnings press release that included its results of operations and financial condition for the first three months of 2026. A copy of the earnings press release is attached as Exhibit 99.1. The Company also provided electronic presentation slides that will be used in connection with the earnings conference call. A copy of the electronic presentation slides is included in this Report as Exhibit 99.2 and will be available on the Company's website, www.bankatfirst.com . The information set forth in this Current Report on Form 8-K (including the information in Exhibits 99.1 and 99.2 attached hereto) is being furnished to the Securities and Exchange Commission and is not deemed to be ""filed"" for purposes of Section 18 of the Securities Exchange Act of 1934, as amended (the ""Exchange Act"") , or otherwise subject to the liabilities under the Exchange Act. Such information shall not be incorporated by reference into any registration statement or other document filed under the Securities Act of 1933, as amended, or the Exchange Act, except as shall be expressly set forth by specific reference in such filing. Item 8.01 Other Events. Also on April 23, 2026, the Company announced that the Board of Directors has authorized the purchase of up to 5,000,000 shares of the Company’s common stock, representing approximately 4.8% of the Company's issued and outstanding shares of common stock as of March 31, 2026. The stock repurchase plan was effective on April 21, 2026, in replacement of the stock repurchase plan previously authorized in December 2023 that expired on December 31, 2025. The current stock repurchase plan will expire on December 31, 2027. The Board of Directors reauthorized the stock repurchase plan based on the continued strength of the Company’s balance sheet and capital posi",positive,Financial strength + management betting on stock appreciation.
6069,gdelt,First Hawaiian ( NASDAQ : FHB ) Releases Q2 2026 Earnings Guidance,,neutral,guidance released; no direction stated
1925,edgar,Webster Financial Corporation 10-K/A,,neutral,10-K amendment; no detail on reason
1441,edgar,Capital One Financial Corporation 8-K,"8-K CAPITAL ONE FINANCIAL CORP false 0000927628 0000927628 2026-04-23 2026-04-23 0000927628 us-gaap:CommonStockMember 2026-04-23 2026-04-23 0000927628 cof:SeriesIPreferredStockMember 2026-04-23 2026-04-23 0000927628 cof:SeriesJPreferredStockMember 2026-04-23 2026-04-23 0000927628 cof:SeriesKPreferredStockMember 2026-04-23 2026-04-23 0000927628 cof:SeriesLPreferredStockMember 2026-04-23 2026-04-23 0000927628 cof:SeriesNPreferredStockMember 2026-04-23 2026-04-23 0000927628 us-gaap:SeniorNotesMember 2026-04-23 2026-04-23 UNITED STATES SECURITIES AND EXCHANGE COMMISSION Washington, D.C. 20549 FORM 8-K CURRENT REPORT Pursuant to Section 13 or 15(d) of The Securities Exchange Act of 1934 April 23, 2026 Date of Report (Date of earliest event reported) CAPITAL ONE FINANCIAL CORPORATION (Exact name of registrant as specified in its charter) Delaware 001-13300 54-1719854 (State or other jurisdiction of incorporation) (Commission File Number) (IRS Employer Identification No.) 1680 Capital One Drive , McLean , Virginia 22102 (Address of principal executive offices) (Zip Code) Registrant’s telephone number, including area code: (703) 720-1000 (Not applicable) (Former name or former address, if changed since last report) Check the appropriate box below if the Form 8-K filing is intended to simultaneously satisfy the filing obligation of the registrant under any of the following provisions (see General Instruction A.2. below): ☐ Written communications pursuant to Rule 425 under the Securities Act (17 CFR 230.425) ☐ Soliciting material pursuant to Rule 14a-12 under the Exchange Act (17 CFR 240.14a-12) ☐ Pre-commencement communications pursuant to Rule 14d-2(b) under the Exchange Act (17 CFR 240.14d-2(b)) ☐ Pre-commencement communications pursuant to Rule 13e-4(c) under the Exchange Act (17 CFR 240.13e-4(c)) Securities registered pursuant to Section 12(b) of the Act: Title of Each Class Trading Symbol(s) Name of Each Exchange on Which Registered Common Stock (par value $.01 per share) COF New York Stock Exchange Depositary Shares, Each Representing a 1/40th Interest in a Share of Fixed Rate Non-Cumulative Perpetual Preferred Stock, Series I COF PRI New York Stock Exchange Depositary Shares, Each Representing a 1/40th Interest in a Share of Fixed Rate Non-Cumulative Perpetual Preferred Stock, Series J COF PRJ New York Stock Exchange Depositary Shares, Each Representing a 1/40th Interest in a Share of Fixed Rate Non-Cumulative Perpetual Preferred Stock, Series K COF PRK New York Stock Exchange Depositary Shares, Each Representing a 1/40th Interest in a Share of Fixed Rate Non-Cumulative Perpetual Preferred Stock, Series L COF PRL New York Stock Exchange Depositary Shares, Each Representing a 1/40th Interest in a Share of Fixed Rate Non-Cumulative Perpetual Preferred Stock, Series N COF PRN New York Stock Exchange 1.650% Senior Notes Due 2029 COF29 New York Stock Exchange Indicate by check mark whether the registrant is an emerging growth company as defined in Rule 405 of the Securities Act of 1933 (§230.405 of this chapter) or Rule 12b-2 of the Securities Exchange Act of 1934 (§240.12b-2 of this chapter). Emerging growth company ☐ If an emerging growth company, indicate by check mark if the registrant has elected not to use the extended transition period for complying with any new or revised financial accounting standards provided pursuant to Section 13(a) of the Exchange Act. ☐ Item 8.01 Other Events. This current report on Form 8-K is filed for the purpose of filing the attached exhibit in connection with the prospectus supplement, dated April 23, 2026 (the “Resale Prospectus Supplement”), filed by Capital One Financial Corporation (the “Company”) with the Securities and Exchange Commission, which forms a part of the Company’s automatic shelf registration statement on Form S-3 (File No. 333-277813). The selling security holders referred to in the Resale Prospectus Supplement may offer and sell up to 10,345,906 shares of common stock, $0.01 par",neutral,selling holders resale prospectus; others selling stock
7457,gdelt,MLB All - Star Game 2026 : Players we stop everything to watch -- and why,,neutral,Not a bank
9474,gdelt,Comfort Systems united states ( NYSE : FIX ) Downgraded by Erste Group Bank to Hold,,neutral,Comfort Systems not a bank
1453,edgar,Fifth Third Bancorp 8-K,"fitb-20260521 false 0000035527 0000035527 2026-05-21 2026-05-21 0000035527 us-gaap:CommonStockMember 2026-05-21 2026-05-21 0000035527 fitb:DepositarySharesRepresentingA11000thInterestInAShareOf6.625FixedToFloatingRateNonCumulativePerpetualPreferredStockSeriesIMember 2026-05-21 2026-05-21 0000035527 fitb:DepositarySharesRepresentingA140thOwnershipInterestInAShareOf6.00NonCumulativePerpetualClassBPreferredStockSeriesAMember 2026-05-21 2026-05-21 0000035527 fitb:DepositarySharesRepresentingA11000thOwnershipInterestInAShareOf4.95NotCumulativePerpetualPreferredStockSeriesKMember 2026-05-21 2026-05-21 0000035527 fitb:DepositarySharesRepresentingA140thOwnershipInterestInAShareOf6.875FixedRateResetNonCumulativePerpetualPreferredStockSeriesMMember 2026-05-21 2026-05-21 UNITED STATES SECURITIES AND EXCHANGE COMMISSION WASHINGTON, DC 20549 FORM 8-K CURRENT REPORT PURSUANT TO SECTION 13 OR 15(D) OF THE SECURITIES EXCHANGE ACT OF 1934 Date of report (Date of earliest event reported): May 21, 2026 Fifth Third Bancorp (Exact name of registrant as specified in its charter) Ohio 001-33653 31-0854434 (State or other jurisdiction of incorporation) (Commission File Number) (IRS Employer Identification No.) Fifth Third Center 38 Fountain Square Plaza , Cincinnati , Ohio 45263 (Address of Principal Executive Offices) (Zip Code) ( 800 ) 972-3030 (Registrant's telephone number, including area code) Not Applicable (Former name or former address, if changed since last report) Check the appropriate box below if the Form 8-K filing is intended to simultaneously satisfy the filing obligation of the registrant under any of the following provisions (see General Instruction A.2. below) ☐ Written communications pursuant to Rule 425 under the Securities Act (17 CFR 230.425) ☐ Soliciting material pursuant to Rule 14a-12 under the Exchange Act (17 CFR 240.14a-12) ☐ Pre-commencement communications pursuant to Rule 14d-2(b) under the Exchange Act (17 CFR 240.14d-2(b)) ☐ Pre-commencement communications pursuant to Rule 13e-4(c) under the Exchange Act (17 CFR 240.13e-4(c)) Securities registered pursuant to Section 12(b) of the Act: Title of each class Trading Symbol(s) Name of each exchange on which registered Common Stock, Without Par Value FITB The NASDAQ Stock Market LLC Depositary Shares Representing a 1/1000th Ownership Interest in a Share of 6.625% Fixed-to-Floating Rate Non-Cumulative Perpetual Preferred Stock, Series I FITBI The NASDAQ Stock Market LLC Depositary Shares Representing a 1/40th Ownership Interest in a Share of 6.00% Non-Cumulative Perpetual Class B Preferred Stock, Series A FITBP The NASDAQ Stock Market LLC Depositary Shares Representing a 1/1000th Ownership Interest in a Share of 4.95% Non-Cumulative Perpetual Preferred Stock, Series K FITBO The NASDAQ Stock Market LLC Depositary Shares Representing a 1/40th Ownership Interest in a Share of 6.875% Fixed-Rate Reset Non-Cumulative Perpetual Preferred Stock, Series M FITBM The NASDAQ Stock Market LLC Indicate by check mark whether the registrant is an emerging growth company as defined in Rule 405 of the Securities Act of 1933 (§230.405 of this chapter) or Rule 12b-2 of the Securities Exchange Act of 1934 (§240.12b-2 of this chapter). Emerging growth company ☐ If an emerging growth company, indicate by check mark if the registrant has elected not to use the extended transition period for complying with any new or revised financial accounting standards provided pursuant to Section 13(a) of the Exchange Act. ☐ FORWARD-LOOKING STATEMENTS This communication contains statements that constitute ""forward-looking statements"" within the meaning of, and subject to the protections of, Section 27A of the Securities Act, as amended, and Section 21E of the Securities Exchange Act of 1934, as amended, and the safe harbor provisions of the U.S. Private Securities Litigation Reform Act of 1995. Forward-looking statements can be identified by words such as ""believe,"" ""deliver,"" ""expect,"" ""may,"" ""should,"" ""will,"" """,neutral,excerpt truncated; no direction visible
20497,gdelt,Morgan Wallen Debuts New Song  Been By Now  ,,neutral,Not a bank
1938,edgar,Wintrust Financial Corporation 10-Q,,neutral,No direction in excerpt; quarterly report
