fdic_cert_number,quarter_end_date,bank_id,distress_prob,score,band,score_lo_80,score_hi_80,score_lo_95,score_hi_95,latent_mean,latent_var,n_missing_features,model_version,config_version,computed_at
2270,2026-03-31,zion,0.1751,82.5,neutral,66.6,91.8,55.9,94.6,-1.55,0.45,0,gpc-mock-0.1,index/config/v0.1.yaml,2026-07-31T12:00:00Z
6384,2025-03-31,pnc,0.0431,95.7,sound,91.0,98.0,86.9,98.7,-3.1,0.38,0,gpc-mock-0.1,index/config/v0.1.yaml,2026-07-31T12:00:00Z
6384,2025-06-30,pnc,0.0474,95.3,sound,90.1,97.8,85.7,98.5,-3.0,0.38,0,gpc-mock-0.1,index/config/v0.1.yaml,2026-07-31T12:00:00Z
6384,2025-09-30,pnc,0.0392,96.1,sound,91.8,98.2,88.0,98.8,-3.2,0.38,0,gpc-mock-0.1,index/config/v0.1.yaml,2026-07-31T12:00:00Z
6384,2025-12-31,pnc,0.0474,95.3,sound,90.1,97.8,85.7,98.5,-3.0,0.38,0,gpc-mock-0.1,index/config/v0.1.yaml,2026-07-31T12:00:00Z
6384,2026-03-31,pnc,0.0497,95.0,sound,89.7,97.7,85.1,98.5,-2.95,0.38,0,gpc-mock-0.1,index/config/v0.1.yaml,2026-07-31T12:00:00Z
6989,2025-03-31,cbu,0.2315,76.9,distress,11.2,98.9,2.2,99.8,-1.2,6.5,2,gpc-mock-0.1,index/config/v0.1.yaml,2026-07-31T12:00:00Z
6989,2025-06-30,cbu,0.2497,75.0,distress,10.3,98.7,2.0,99.8,-1.1,6.5,2,gpc-mock-0.1,index/config/v0.1.yaml,2026-07-31T12:00:00Z
6989,2025-09-30,cbu,0.1978,80.2,neutral,13.4,99.1,2.7,99.8,-1.4,6.5,2,gpc-mock-0.1,index/config/v0.1.yaml,2026-07-31T12:00:00Z
6989,2025-12-31,cbu,0.2315,76.9,distress,11.2,98.9,2.2,99.8,-1.2,6.5,2,gpc-mock-0.1,index/config/v0.1.yaml,2026-07-31T12:00:00Z
6989,2026-03-31,cbu,0.2227,77.7,distress,11.7,98.9,2.3,99.8,-1.25,6.5,2,gpc-mock-0.1,index/config/v0.1.yaml,2026-07-31T12:00:00Z
